result_no	generate_no	skill_id	
17	0	1
17	0	10
17	0	100
17	0	101
17	0	102
17	0	103
17	0	104
17	0	105
17	0	106
17	0	107
17	0	108
17	0	109
17	0	11
17	0	110
17	0	111
17	0	112
17	0	113
17	0	114
17	0	115
17	0	116
17	0	117
17	0	118
17	0	119
17	0	12
17	0	120
17	0	121
17	0	122
17	0	123
17	0	124
17	0	125
17	0	126
17	0	127
17	0	128
17	0	129
17	0	13
17	0	130
17	0	131
17	0	132
17	0	133
17	0	134
17	0	135
17	0	136
17	0	137
17	0	138
17	0	139
17	0	14
17	0	140
17	0	141
17	0	142
17	0	143
17	0	144
17	0	145
17	0	146
17	0	147
17	0	148
17	0	149
17	0	15
17	0	150
17	0	151
17	0	152
17	0	153
17	0	154
17	0	155
17	0	156
17	0	157
17	0	158
17	0	159
17	0	16
17	0	160
17	0	161
17	0	162
17	0	163
17	0	164
17	0	165
17	0	166
17	0	167
17	0	168
17	0	169
17	0	17
17	0	170
17	0	171
17	0	172
17	0	173
17	0	174
17	0	175
17	0	176
17	0	177
17	0	178
17	0	179
17	0	18
17	0	180
17	0	181
17	0	182
17	0	183
17	0	184
17	0	185
17	0	186
17	0	187
17	0	188
17	0	189
17	0	19
17	0	190
17	0	191
17	0	192
17	0	193
17	0	194
17	0	195
17	0	196
17	0	197
17	0	198
17	0	199
17	0	2
17	0	20
17	0	200
17	0	201
17	0	202
17	0	203
17	0	204
17	0	205
17	0	206
17	0	207
17	0	208
17	0	209
17	0	21
17	0	210
17	0	211
17	0	212
17	0	213
17	0	214
17	0	215
17	0	216
17	0	217
17	0	218
17	0	219
17	0	22
17	0	220
17	0	221
17	0	222
17	0	223
17	0	224
17	0	225
17	0	226
17	0	227
17	0	228
17	0	229
17	0	23
17	0	230
17	0	231
17	0	232
17	0	233
17	0	234
17	0	235
17	0	236
17	0	237
17	0	238
17	0	239
17	0	24
17	0	240
17	0	241
17	0	242
17	0	243
17	0	244
17	0	245
17	0	246
17	0	247
17	0	248
17	0	249
17	0	25
17	0	250
17	0	251
17	0	252
17	0	253
17	0	254
17	0	255
17	0	256
17	0	257
17	0	258
17	0	259
17	0	26
17	0	260
17	0	261
17	0	262
17	0	263
17	0	264
17	0	265
17	0	266
17	0	267
17	0	268
17	0	269
17	0	27
17	0	270
17	0	271
17	0	272
17	0	273
17	0	274
17	0	275
17	0	276
17	0	277
17	0	278
17	0	279
17	0	28
17	0	280
17	0	281
17	0	282
17	0	283
17	0	284
17	0	285
17	0	286
17	0	287
17	0	288
17	0	289
17	0	29
17	0	290
17	0	291
17	0	292
17	0	293
17	0	294
17	0	295
17	0	296
17	0	297
17	0	298
17	0	299
17	0	3
17	0	30
17	0	300
17	0	301
17	0	302
17	0	303
17	0	304
17	0	305
17	0	306
17	0	307
17	0	308
17	0	309
17	0	31
17	0	310
17	0	311
17	0	312
17	0	313
17	0	314
17	0	315
17	0	316
17	0	317
17	0	318
17	0	319
17	0	32
17	0	320
17	0	321
17	0	322
17	0	323
17	0	324
17	0	325
17	0	326
17	0	327
17	0	328
17	0	329
17	0	33
17	0	330
17	0	331
17	0	332
17	0	333
17	0	334
17	0	335
17	0	336
17	0	337
17	0	338
17	0	339
17	0	34
17	0	340
17	0	341
17	0	342
17	0	343
17	0	344
17	0	345
17	0	346
17	0	347
17	0	348
17	0	349
17	0	35
17	0	350
17	0	351
17	0	352
17	0	353
17	0	354
17	0	355
17	0	356
17	0	357
17	0	358
17	0	359
17	0	36
17	0	360
17	0	361
17	0	362
17	0	363
17	0	364
17	0	365
17	0	366
17	0	367
17	0	368
17	0	369
17	0	37
17	0	370
17	0	371
17	0	372
17	0	373
17	0	374
17	0	375
17	0	376
17	0	377
17	0	378
17	0	379
17	0	38
17	0	380
17	0	381
17	0	382
17	0	383
17	0	384
17	0	385
17	0	386
17	0	387
17	0	388
17	0	389
17	0	39
17	0	390
17	0	391
17	0	392
17	0	393
17	0	394
17	0	395
17	0	396
17	0	397
17	0	398
17	0	399
17	0	4
17	0	40
17	0	400
17	0	401
17	0	402
17	0	403
17	0	404
17	0	405
17	0	406
17	0	407
17	0	408
17	0	409
17	0	41
17	0	410
17	0	411
17	0	412
17	0	413
17	0	414
17	0	415
17	0	416
17	0	417
17	0	418
17	0	419
17	0	42
17	0	420
17	0	421
17	0	422
17	0	423
17	0	424
17	0	425
17	0	426
17	0	427
17	0	428
17	0	429
17	0	43
17	0	430
17	0	431
17	0	432
17	0	433
17	0	434
17	0	435
17	0	436
17	0	437
17	0	438
17	0	439
17	0	44
17	0	440
17	0	441
17	0	442
17	0	443
17	0	444
17	0	445
17	0	446
17	0	447
17	0	448
17	0	449
17	0	45
17	0	450
17	0	451
17	0	452
17	0	453
17	0	454
17	0	455
17	0	456
17	0	457
17	0	458
17	0	459
17	0	46
17	0	460
17	0	461
17	0	462
17	0	463
17	0	464
17	0	465
17	0	466
17	0	467
17	0	468
17	0	469
17	0	47
17	0	470
17	0	471
17	0	472
17	0	473
17	0	474
17	0	475
17	0	476
17	0	477
17	0	478
17	0	479
17	0	48
17	0	480
17	0	481
17	0	482
17	0	483
17	0	484
17	0	485
17	0	486
17	0	487
17	0	488
17	0	489
17	0	49
17	0	490
17	0	491
17	0	492
17	0	493
17	0	494
17	0	495
17	0	496
17	0	497
17	0	498
17	0	499
17	0	5
17	0	50
17	0	500
17	0	501
17	0	502
17	0	503
17	0	504
17	0	505
17	0	506
17	0	507
17	0	508
17	0	509
17	0	51
17	0	510
17	0	511
17	0	512
17	0	513
17	0	514
17	0	515
17	0	516
17	0	517
17	0	518
17	0	519
17	0	52
17	0	520
17	0	521
17	0	522
17	0	523
17	0	524
17	0	525
17	0	526
17	0	527
17	0	528
17	0	529
17	0	53
17	0	530
17	0	531
17	0	532
17	0	533
17	0	534
17	0	535
17	0	536
17	0	537
17	0	538
17	0	539
17	0	54
17	0	540
17	0	541
17	0	542
17	0	543
17	0	544
17	0	545
17	0	546
17	0	547
17	0	548
17	0	549
17	0	55
17	0	550
17	0	551
17	0	552
17	0	553
17	0	554
17	0	555
17	0	556
17	0	557
17	0	558
17	0	559
17	0	56
17	0	560
17	0	561
17	0	562
17	0	563
17	0	564
17	0	565
17	0	566
17	0	567
17	0	568
17	0	569
17	0	57
17	0	58
17	0	59
17	0	6
17	0	60
17	0	61
17	0	62
17	0	63
17	0	64
17	0	65
17	0	66
17	0	67
17	0	68
17	0	69
17	0	7
17	0	70
17	0	71
17	0	72
17	0	73
17	0	74
17	0	75
17	0	76
17	0	77
17	0	78
17	0	79
17	0	8
17	0	80
17	0	81
17	0	82
17	0	83
17	0	84
17	0	85
17	0	86
17	0	87
17	0	88
17	0	89
17	0	9
17	0	90
17	0	91
17	0	92
17	0	93
17	0	94
17	0	95
17	0	96
17	0	97
17	0	98
17	0	99
