result_no	generate_no	embryo_id	
68	0	1
68	0	10
68	0	100
68	0	101
68	0	102
68	0	103
68	0	104
68	0	105
68	0	106
68	0	107
68	0	108
68	0	109
68	0	11
68	0	110
68	0	111
68	0	112
68	0	113
68	0	114
68	0	115
68	0	116
68	0	117
68	0	118
68	0	119
68	0	12
68	0	120
68	0	121
68	0	122
68	0	123
68	0	124
68	0	125
68	0	126
68	0	127
68	0	128
68	0	129
68	0	13
68	0	130
68	0	131
68	0	132
68	0	133
68	0	134
68	0	135
68	0	136
68	0	137
68	0	138
68	0	139
68	0	14
68	0	140
68	0	141
68	0	142
68	0	143
68	0	144
68	0	145
68	0	146
68	0	147
68	0	148
68	0	149
68	0	15
68	0	150
68	0	151
68	0	152
68	0	153
68	0	154
68	0	155
68	0	156
68	0	157
68	0	158
68	0	159
68	0	16
68	0	160
68	0	161
68	0	162
68	0	163
68	0	164
68	0	165
68	0	166
68	0	167
68	0	168
68	0	169
68	0	17
68	0	170
68	0	171
68	0	172
68	0	173
68	0	174
68	0	175
68	0	176
68	0	177
68	0	178
68	0	179
68	0	18
68	0	180
68	0	181
68	0	182
68	0	183
68	0	184
68	0	185
68	0	186
68	0	187
68	0	188
68	0	19
68	0	2
68	0	20
68	0	21
68	0	22
68	0	23
68	0	24
68	0	25
68	0	26
68	0	27
68	0	28
68	0	29
68	0	3
68	0	30
68	0	31
68	0	32
68	0	33
68	0	34
68	0	35
68	0	36
68	0	37
68	0	38
68	0	39
68	0	4
68	0	40
68	0	41
68	0	42
68	0	43
68	0	44
68	0	45
68	0	46
68	0	47
68	0	48
68	0	49
68	0	5
68	0	50
68	0	51
68	0	52
68	0	53
68	0	54
68	0	55
68	0	56
68	0	57
68	0	58
68	0	59
68	0	6
68	0	60
68	0	61
68	0	62
68	0	63
68	0	64
68	0	65
68	0	66
68	0	67
68	0	68
68	0	69
68	0	7
68	0	70
68	0	71
68	0	72
68	0	73
68	0	74
68	0	75
68	0	76
68	0	77
68	0	78
68	0	79
68	0	8
68	0	80
68	0	81
68	0	82
68	0	83
68	0	84
68	0	85
68	0	86
68	0	87
68	0	88
68	0	89
68	0	9
68	0	90
68	0	91
68	0	92
68	0	93
68	0	94
68	0	95
68	0	96
68	0	97
68	0	98
68	0	99
