result_no	generate_no	embryo_id	
61	0	1
61	0	10
61	0	100
61	0	101
61	0	102
61	0	103
61	0	104
61	0	105
61	0	106
61	0	107
61	0	108
61	0	109
61	0	11
61	0	110
61	0	111
61	0	112
61	0	113
61	0	114
61	0	115
61	0	116
61	0	117
61	0	118
61	0	119
61	0	12
61	0	120
61	0	121
61	0	122
61	0	123
61	0	124
61	0	125
61	0	126
61	0	127
61	0	128
61	0	129
61	0	13
61	0	130
61	0	131
61	0	132
61	0	133
61	0	134
61	0	135
61	0	136
61	0	137
61	0	138
61	0	139
61	0	14
61	0	140
61	0	141
61	0	142
61	0	143
61	0	144
61	0	145
61	0	146
61	0	147
61	0	148
61	0	149
61	0	15
61	0	150
61	0	151
61	0	152
61	0	153
61	0	154
61	0	155
61	0	156
61	0	157
61	0	158
61	0	159
61	0	16
61	0	160
61	0	161
61	0	162
61	0	163
61	0	164
61	0	165
61	0	166
61	0	167
61	0	168
61	0	169
61	0	17
61	0	170
61	0	171
61	0	172
61	0	173
61	0	174
61	0	175
61	0	176
61	0	177
61	0	178
61	0	179
61	0	18
61	0	180
61	0	181
61	0	19
61	0	2
61	0	20
61	0	21
61	0	22
61	0	23
61	0	24
61	0	25
61	0	26
61	0	27
61	0	28
61	0	29
61	0	3
61	0	30
61	0	31
61	0	32
61	0	33
61	0	34
61	0	35
61	0	36
61	0	37
61	0	38
61	0	39
61	0	4
61	0	40
61	0	41
61	0	42
61	0	43
61	0	44
61	0	45
61	0	46
61	0	47
61	0	48
61	0	49
61	0	5
61	0	50
61	0	51
61	0	52
61	0	53
61	0	54
61	0	55
61	0	56
61	0	57
61	0	58
61	0	59
61	0	6
61	0	60
61	0	61
61	0	62
61	0	63
61	0	64
61	0	65
61	0	66
61	0	67
61	0	68
61	0	69
61	0	7
61	0	70
61	0	71
61	0	72
61	0	73
61	0	74
61	0	75
61	0	76
61	0	77
61	0	78
61	0	79
61	0	8
61	0	80
61	0	81
61	0	82
61	0	83
61	0	84
61	0	85
61	0	86
61	0	87
61	0	88
61	0	89
61	0	9
61	0	90
61	0	91
61	0	92
61	0	93
61	0	94
61	0	95
61	0	96
61	0	97
61	0	98
61	0	99
